,question,location,corpus_id
0,What is the minimum duration of imprisonment if the damage caused is particularly great?,"if the damage caused is particularly great, with imprisonment of at least three (3) months and a fine.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
1,"What is the maximum duration of imprisonment if the damage caused exceeds 120,000 euros?","exceeds a total of one hundred and twenty thousand (120,000) euros, imprisonment of up to ten (10) years and a fine shall be imposed.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
2,What is the maximum imprisonment term if the fraud against the Greek State exceeds a total of one hundred and twenty thousand euros?,"If the fraud is directed directly against the legal entity of the Greek State, legal entities governed by public law, or local government organizations, and the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, a prison sentence of at least ten (10) years and a fine of up to one thousand (1,000) daily units shall be imposed.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
3,How many years is the offense time-barred after if the fraud is against the Greek State?,This offense shall be time-barred after twenty (20) years.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
4,What are the potential penalties for accessing data without right?,"Everyone who obtains access to data recorded in a computer or in the external memory of a computer or transmitted by telecommunication systems shall be punished with imprisonment for up to six months or by a fine from 29 to 15,000 Euro",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt
5,Under what condition would accessing data without right lead to imprisonment for up to six months?,Everyone who obtains access to data recorded in a computer or in the external memory of a computer or transmitted by telecommunication systems shall be punished with imprisonment for up to six months,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt
6,How would the offender be punished if the act concerns the international relations or the security of the State?,"If the act concerns the international relations or the security of the State, he shall be punished according to Article 148.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt
7,In what circumstances will the act of accessing data be punished if the offender is in the service of the legal holder?,"If the offender is in the service of the legal holder of the data, the act of the preceding paragraph shall be punished only if it has been explicitly prohibited by internal regulations or by a written decision of the holder or of a competent employee of his.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt
8,What does Article 386 paragraph 1 of the Greek Penal Code define as the establishment of the crime of fraud?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts...",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt
9,In what circumstances does the crime of fraud occur according to Article 386 paragraph 1 of the Greek Penal Code?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts...",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt
