,question,references,corpus_id
0,"What are the consequences for a person who suggests an encounter between an adult and a minor under the age of fifteen, leading to the commitment of specific crimes?","[{""content"": ""Any person who intentionally, through the technology of information and communication, suggests an encounter between an adult and a minor under the age of fifteen, aiming at the commitment of the crimes described in par. 1 and 2 of art. 339 and 348\u0391, is sentenced to an imprisonment of at least two years and a fine of fifty to two hundred thousand Euros, when the proposal is followed by further actions which lead in the commitment of such crimes"", ""start_index"": 0, ""end_index"": 448}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
1,"What are the penalties for a person who intentionally suggests an encounter between an adult and a minor under the age of fifteen, resulting in the commission of specified crimes?","[{""content"": ""Any person who intentionally, through the technology of information and communication, suggests an encounter between an adult and a minor under the age of fifteen, aiming at the commitment of the crimes described in par. 1 and 2 of art. 339 and 348\u0391, is sentenced to an imprisonment of at least two years and a fine of fifty to two hundred thousand Euros, when the proposal is followed by further actions which lead in the commitment of such crimes"", ""start_index"": 0, ""end_index"": 448}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
2,"What are the repercussions for an individual who encourages a meeting between an adult and a minor under the age of fifteen, which leads to the commission of certain offenses?","[{""content"": ""Any person who intentionally, through the technology of information and communication, suggests an encounter between an adult and a minor under the age of fifteen, aiming at the commitment of the crimes described in par. 1 and 2 of art. 339 and 348\u0391, is sentenced to an imprisonment of at least two years and a fine of fifty to two hundred thousand Euros, when the proposal is followed by further actions which lead in the commitment of such crimes"", ""start_index"": 0, ""end_index"": 448}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
3,"What is the minimum imprisonment term for a person who suggests a meeting between an adult and a minor under the age of fifteen, resulting in the commission of specific crimes?","[{""content"": ""Any person who intentionally, through the technology of information and communication, suggests an encounter between an adult and a minor under the age of fifteen, aiming at the commitment of the crimes described in par. 1 and 2 of art. 339 and 348\u0391, is sentenced to an imprisonment of at least two years and a fine of fifty to two hundred thousand Euros, when the proposal is followed by further actions which lead in the commitment of such crimes"", ""start_index"": 0, ""end_index"": 448}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
4,What is the range of the fine for an individual who proposes an encounter that leads to the commission of specific crimes?,"[{""content"": ""Any person who intentionally, through the technology of information and communication, suggests an encounter between an adult and a minor under the age of fifteen, aiming at the commitment of the crimes described in par. 1 and 2 of art. 339 and 348\u0391, is sentenced to an imprisonment of at least two years and a fine of fifty to two hundred thousand Euros, when the proposal is followed by further actions which lead in the commitment of such crimes"", ""start_index"": 0, ""end_index"": 448}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
5,What are the consequences for those who spread child pornographic material online?,"[{""content"": ""Any person who intentionally produces, offers, sells or in any way distributes, transfers, purchases, obtains or acquires child pornographic material or broadcasts information concerning the executions of such actions through a computer system or through the Internet is sentenced to at least two years\u2019 imprisonment and a fine of fifty to three hundred thousand Euros"", ""start_index"": 391, ""end_index"": 759}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
6,What are the penalties for individuals who intentionally distribute child pornographic material through a computer system?,"[{""content"": ""Any person who intentionally produces, offers, sells or in any way distributes, transfers, purchases, obtains or acquires child pornographic material or broadcasts information concerning the executions of such actions through a computer system or through the Internet is sentenced to at least two years\u2019 imprisonment and a fine of fifty to three hundred thousand Euros"", ""start_index"": 391, ""end_index"": 759}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
7,What are the consequences for individuals who acquire child pornographic material?,"[{""content"": ""Any person who intentionally produces, distributes, publishes, imports or exports, transfers, offers, sells or in other way distributes, supplies with, purchases, obtains, acquires or owns child pornographic material or spreads or broadcasts information concerning executions of such actions, is sentenced to at least one year\u2019s imprisonment and a fine of ten to one hundred thousand Euros"", ""start_index"": 0, ""end_index"": 389}, {""content"": ""Any person who intentionally produces, offers, sells or in any way distributes, transfers, purchases, obtains or acquires child pornographic material or broadcasts information concerning the executions of such actions through a computer system or through the Internet is sentenced to at least two years\u2019 imprisonment and a fine of fifty to three hundred thousand Euros"", ""start_index"": 391, ""end_index"": 759}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
8,"What are the minimum penalties for individuals who transfer, sell, or own child pornographic material?","[{""content"": ""Any person who intentionally produces, distributes, publishes, imports or exports, transfers, offers, sells or in other way distributes, supplies with, purchases, obtains, acquires or owns child pornographic material or spreads or broadcasts information concerning executions of such actions, is sentenced to at least one year\u2019s imprisonment and a fine of ten to one hundred thousand Euros"", ""start_index"": 0, ""end_index"": 389}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
9,What are the punishments for those who publish child pornographic material?,"[{""content"": ""Any person who intentionally produces, distributes, publishes, imports or exports, transfers, offers, sells or in other way distributes, supplies with, purchases, obtains, acquires or owns child pornographic material or spreads or broadcasts information concerning executions of such actions, is sentenced to at least one year\u2019s imprisonment and a fine of ten to one hundred thousand Euros"", ""start_index"": 0, ""end_index"": 389}, {""content"": ""Any person who intentionally produces, offers, sells or in any way distributes, transfers, purchases, obtains or acquires child pornographic material or broadcasts information concerning the executions of such actions through a computer system or through the Internet is sentenced to at least two years\u2019 imprisonment and a fine of fifty to three hundred thousand Euros"", ""start_index"": 391, ""end_index"": 759}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
