,question,location,corpus_id
0,What does the Regulation lay down rules about?,"{'start_chunk': 'This Regulation lays down rules relating to the protection', 'end_chunk': 'movement of personal data.'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
1,Whose fundamental rights does this Regulation protect?,"{'start_chunk': 'This Regulation protects fundamental rights', 'end_chunk': 'right to the protection of personal data.'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
2,Under what conditions shall the free movement of personal data within the Union not be restricted?,"{'start_chunk': 'The free movement of personal data within', 'end_chunk': 'protection of natural persons with regard to the processing of personal data.'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
3,What is neither restricted nor prohibited within the Union for reasons connected with the protection of natural persons with regard to the processing of personal data?,"{'start_chunk': 'The free movement of personal data within', 'end_chunk': 'protection of natural persons with regard to the processing of personal data.'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
4,What must be carried out only under the control of official authority?,"{'text': 'Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority', 'start_chunk': 'Processing of personal data', 'end_chunk': 'control of official authority'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
5,What requires Union or Member State law authorisation for processing?,"{'text': 'When the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.', 'start_chunk': 'When the processing is authorised by Union or Member State law', 'end_chunk': 'of data subjects'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
6,What shall be kept only under the control of official authority?,"{'text': 'Any comprehensive register of criminal convictions shall be kept only under the control of official authority', 'start_chunk': 'Any comprehensive register of criminal convictions', 'end_chunk': 'control of official authority'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
7,What article is cited in relation to the processing of personal data?,"{'text': 'Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1)', 'start_chunk': 'Processing of personal data', 'end_chunk': 'Article 6(1)'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
8,Under what condition is a controller not obliged to acquire additional information to identify a data subject?,"{'text': 'If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller', 'start_chunk': 'If the purposes for which a controller processes personal data', 'end_chunk': 'do no longer require the identification of a data subject by the controller'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
9,Which articles will not apply if a data subject does not provide additional information for identification?,"{'text': 'In such cases, Articles 15 to 20 shall not apply', 'start_chunk': 'In such cases', 'end_chunk': 'Articles 15 to 20 shall not apply'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
10,What should the controller do if it is not in a position to identify the data subject?,"{'text': 'the controller shall inform the data subject accordingly, if possible', 'start_chunk': 'the controller is able to demonstrate that it is not in a position to identify the data subject', 'end_chunk': 'the controller shall inform the data subject accordingly, if possible'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
11,What section discusses the rights of the data subject?,"{'text': 'CHAPTER III Rights of the data subject Section 1 Transparency and modalities', 'start_chunk': 'CHAPTER III Rights of the data subject', 'end_chunk': 'Section 1 Transparency and modalities'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
12,In what form shall the controller provide the information?,"{'text': 'The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.', 'start_chunk': 'The information shall be provided', 'end_chunk': 'other means.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
13,"To whom must the information be provided in a concise, transparent, intelligible, and easily accessible form?","{'text': 'provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible, and easily accessible form', 'start_chunk': 'provide any information', 'end_chunk': 'easily accessible form'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
14,Under which Articles does the controller facilitate the exercise of data subject rights?,"{'text': 'The controller shall facilitate the exercise of data subject rights under Articles 15 to 22.', 'start_chunk': 'The controller shall facilitate', 'end_chunk': 'Articles 15 to 22.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
15,When can the information be provided orally to the data subject?,"{'text': 'When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.', 'start_chunk': 'When requested by the data subject', 'end_chunk': 'by other means.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
16,Within what timeframe must the controller inform the data subject of any extension?,"{'start_chunk': 'The controller shall inform', 'end_chunk': 'the reasons for the delay.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
17,What is one condition that allows the controller to extend the initial response period by two months?,"{'start_chunk': 'That period may be extended', 'end_chunk': 'the complexity and number of the requests.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
18,In what manner should information be provided if the data subject makes the request by electronic form means?,"{'start_chunk': 'Where the data subject makes', 'end_chunk': 'unless otherwise requested by the data subject.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
19,What must the controller inform the data subject of if it does not take action on the request?,"{'start_chunk': 'If the controller does not take action', 'end_chunk': 'seeking a judicial remedy.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
