,question,references,corpus_id
0,What was the total benefit and damage resulting from the criminal acts?,"[{""content"": ""Conviction for computer fraud committed repeatedly and professionally with a total benefit and damage exceeding \u20ac30,000"", ""start_index"": 152, ""end_index"": 271}, {""content"": ""the total financial benefit and corresponding damage exceed the amount of \u20ac30,000"", ""start_index"": 560, ""end_index"": 641}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
1,For what crime was the defendant convicted?,"[{""content"": ""Reasoning: Conviction for computer fraud committed repeatedly and professionally with a total benefit and damage exceeding \u20ac30,000"", ""start_index"": 141, ""end_index"": 271}, {""content"": ""the defendant must be declared guilty of the aforementioned criminal acts of fraud by means of a computer, committed repeatedly by a perpetrator acting professionally, where the total financial benefit and corresponding damage exceed the amount of \u20ac30,000, as well as for repeated embezzlement"", ""start_index"": 386, ""end_index"": 679}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
2,What article of the Penal Code was referenced in this case?,"[{""content"": ""Provisions: Article 386 of the Penal Code"", ""start_index"": 35, ""end_index"": 76}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
3,What is the reason for the conviction in this case?,"[{""content"": ""Reasoning: Conviction for computer fraud committed repeatedly and professionally with a total benefit and damage exceeding \u20ac30,000"", ""start_index"": 141, ""end_index"": 271}, {""content"": ""According to the majority opinion, the charge is substantiated in both its objective and subjective aspects, and the defendant must be declared guilty of the aforementioned criminal acts of fraud by means of a computer, committed repeatedly by a perpetrator acting professionally, where the total financial benefit and corresponding damage exceed the amount of \u20ac30,000, as well as for repeated embezzlement"", ""start_index"": 273, ""end_index"": 679}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
4,What was the court's decision regarding the defendant's guilt?,"[{""content"": ""Result (innocent, guilty):"", ""start_index"": 112, ""end_index"": 138}, {""content"": ""According to the majority opinion, the charge is substantiated in both its objective and subjective aspects, and the defendant must be declared guilty of the aforementioned criminal acts of fraud by means of a computer, committed repeatedly by a perpetrator acting professionally, where the total financial benefit and corresponding damage exceed the amount of \u20ac30,000, as well as for repeated embezzlement"", ""start_index"": 273, ""end_index"": 679}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
5,What unlawful action did the defendant commit between June 2007 and June 2008?,"[{""content"": ""The defendant accessed a website using a computer, employing, without the knowledge and consent of the complainants, the access codes for the electronic management system of the bank accounts held by the complainants at a Bank, and transferred money through electronically transmitted orders from the complainants' accounts to her own account"", ""start_index"": 7, ""end_index"": 349}, {""content"": ""Specifically, during the period from June 2007 to June 2008, after unlawfully acquiring the aforementioned STICK containing the access codes, she accessed a website maintained by ..., using, without the complainants' knowledge (without their consent or approval), the access codes for the electronic management system of the bank accounts held at the aforementioned Bank, transferring through electronically transmitted orders to the joint account number ... of the complainants from bank accounts numbered ..., ..., and ."", ""start_index"": 351, ""end_index"": 873}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
6,How did the defendant access the bank accounts of the complainants?,"[{""content"": ""The defendant accessed a website using a computer, employing, without the knowledge and consent of the complainants, the access codes for the electronic management system of the bank accounts held by the complainants at a Bank"", ""start_index"": 7, ""end_index"": 233}, {""content"": ""Specifically, during the period from June 2007 to June 2008, after unlawfully acquiring the aforementioned STICK containing the access codes, she accessed a website maintained by ..., using, without the complainants' knowledge (without their consent or approval), the access codes for the electronic management system of the bank accounts held at the aforementioned Bank"", ""start_index"": 351, ""end_index"": 721}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
7,What was the duration of the defendant's unauthorized activity?,"[{""content"": ""Specifically, during the period from June 2007 to June 2008, after unlawfully acquiring the aforementioned STICK containing the access codes, she accessed a website maintained by ..., using, without the complainants' knowledge (without their consent or approval), the access codes for the electronic management system of the bank accounts held at the aforementioned Bank, transferring through electronically transmitted orders to the joint account number ... of the complainants from bank accounts numbered ..., ..., and ."", ""start_index"": 351, ""end_index"": 873}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
8,Which accounts were involved in the defendant's unauthorized money transfers?,"[{""content"": ""employing, without the knowledge and consent of the complainants, the access codes for the electronic management system of the bank accounts held by the complainants at a Bank, and transferred money through electronically transmitted orders from the complainants' accounts to her own account"", ""start_index"": 58, ""end_index"": 349}, {""content"": ""transferring through electronically transmitted orders to the joint account number ... of the complainants from bank accounts numbered ..., ..., and ."", ""start_index"": 723, ""end_index"": 873}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
9,What did the defendant use to transfer the money electronically from the complainants' accounts?,"[{""content"": ""The defendant accessed a website using a computer, employing, without the knowledge and consent of the complainants, the access codes for the electronic management system of the bank accounts held by the complainants at a Bank, and transferred money through electronically transmitted orders from the complainants' accounts to her own account"", ""start_index"": 7, ""end_index"": 349}, {""content"": ""Specifically, during the period from June 2007 to June 2008, after unlawfully acquiring the aforementioned STICK containing the access codes, she accessed a website maintained by ..., using, without the complainants' knowledge (without their consent or approval), the access codes for the electronic management system of the bank accounts held at the aforementioned Bank, transferring through electronically transmitted orders to the joint account number ... of the complainants from bank accounts numbered ..., ..., and ."", ""start_index"": 351, ""end_index"": 873}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
