,question,references,corpus_id
0,What does this Regulation protect?,"[{""content"": ""This Regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data"", ""start_index"": 2, ""end_index"": 183}, {""content"": ""This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data"", ""start_index"": 187, ""end_index"": 327}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
1,What shall not be restricted or prohibited within the Union for reasons connected with the protection of natural persons?,"[{""content"": ""The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons connected with the protection of natural persons with regard to the processing of personal data"", ""start_index"": 331, ""end_index"": 533}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
2,What does this Regulation lay down rules about?,"[{""content"": ""This Regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data"", ""start_index"": 2, ""end_index"": 183}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
3,Whose fundamental rights and freedoms does this Regulation protect?,"[{""content"": ""This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data"", ""start_index"": 187, ""end_index"": 327}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
4,What does the Regulation protect in particular?,"[{""content"": ""This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data"", ""start_index"": 187, ""end_index"": 327}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 1- Subject matter and objectives.txt
5,Under what conditions can processing of personal data relating to criminal convictions be carried out?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
6,Who must control any comprehensive register of criminal convictions?,"[{""content"": ""Any comprehensive register of criminal convictions shall be kept only under the control of official authority"", ""start_index"": 340, ""end_index"": 449}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
7,What must Union or Member State law provide for when authorising the processing of personal data relating to criminal convictions?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
8,Under what article is processing of personal data relating to criminal convictions and offences regulated?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
9,What must be provided to safeguard the rights and freedoms of data subjects when processing personal data relating to criminal convictions?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10- Processing of personal data relating to criminal convictions and offences .txt
10,What should a controller do if identifying the data subject is not required for processing personal data?,"[{""content"": ""If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation"", ""start_index"": 2, ""end_index"": 335}, {""content"": ""Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible. In such cases, Articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification"", ""start_index"": 339, ""end_index"": 783}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
11,When do Articles 15 to 20 not apply?,"[{""content"": ""Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible"", ""start_index"": 339, ""end_index"": 565}, {""content"": ""In such cases, Articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification"", ""start_index"": 567, ""end_index"": 783}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
12,What should a controller do if it is unable to identify the data subject?,"[{""content"": ""Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible"", ""start_index"": 339, ""end_index"": 565}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
13,"When does a controller not have to maintain, acquire, or process additional information to identify a data subject?","[{""content"": ""If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation"", ""start_index"": 2, ""end_index"": 335}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
14,Under what condition are Articles 15 to 20 applicable when the controller cannot identify the data subject?,"[{""content"": ""Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible"", ""start_index"": 339, ""end_index"": 565}, {""content"": ""In such cases, Articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification"", ""start_index"": 567, ""end_index"": 783}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11- Processing which does not require identification.txt
15,How should the controller provide information to the data subject?,"[{""content"": ""The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child"", ""start_index"": 2, ""end_index"": 373}, {""content"": ""The information shall be provided in writing, or by other means, including, where appropriate, by electronic means"", ""start_index"": 375, ""end_index"": 489}, {""content"": ""When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means"", ""start_index"": 491, ""end_index"": 638}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
16,Under what circumstances can the controller refuse to act on a data subject request?,"[{""content"": ""The controller shall facilitate the exercise of data subject rights under Articles 15 to 22"", ""start_index"": 662, ""end_index"": 753}, {""content"": ""In the cases referred to in Article 11(2), the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject"", ""start_index"": 755, ""end_index"": 1022}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
17,In what form can information be provided to the data subject?,"[{""content"": ""The information shall be provided in writing, or by other means, including, where appropriate, by electronic means"", ""start_index"": 375, ""end_index"": 489}, {""content"": ""When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means"", ""start_index"": 491, ""end_index"": 638}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
18,Under what condition can information be provided orally to the data subject?,"[{""content"": ""The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means"", ""start_index"": 375, ""end_index"": 638}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
19,What must the controller do to facilitate the exercise of data subject rights?,"[{""content"": ""The controller shall facilitate the exercise of data subject rights under Articles 15 to 22. In the cases referred to in Article 11(2), the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject"", ""start_index"": 662, ""end_index"": 1022}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
