,question,references,corpus_id,Unnamed: 0
0,How is the crime of fraud defined in Article 386 paragraph 1 of the Greek Penal Code?,"[{""content"": ""According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another"", ""start_index"": 0, ""end_index"": 548}, {""content"": ""It is irrelevant whether or not this intended benefit was actually achieved"", ""start_index"": 550, ""end_index"": 625}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
1,What are the key elements required to establish the crime of fraud according to Article 386 paragraph 1 of the Greek Penal Code?,"[{""content"": ""According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another"", ""start_index"": 0, ""end_index"": 548}, {""content"": ""It is irrelevant whether or not this intended benefit was actually achieved"", ""start_index"": 550, ""end_index"": 625}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
2,What is the impact of achieving the intended benefit on the crime of fraud according to Article 386 paragraph 1 of the Greek Penal Code?,"[{""content"": ""It is irrelevant whether or not this intended benefit was actually achieved"", ""start_index"": 550, ""end_index"": 625}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
3,"According to Article 386 paragraph 1 of the Greek Penal Code, what are the specific deceptive actions that can constitute the crime of fraud?","[{""content"": ""According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another"", ""start_index"": 0, ""end_index"": 548}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
4,What is the relevance of achieving the intended benefit to the crime of fraud according to Article 386 paragraph 1 of the Greek Penal Code?,"[{""content"": ""It is irrelevant whether or not this intended benefit was actually achieved"", ""start_index"": 550, ""end_index"": 625}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
5,"In legal terms, what do 'facts' encompass according to the text?","[{""content"": ""Furthermore, within the meaning of the law, \u201cfacts\u201d also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation"", ""start_index"": 0, ""end_index"": 424}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
6,"According to the text, what additional elements contribute to the concept of 'facts' within the legal context?","[{""content"": ""Furthermore, within the meaning of the law, \u201cfacts\u201d also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation"", ""start_index"": 0, ""end_index"": 424}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
7,How does the text define 'facts' in relation to future events and promises within the context of the law?,"[{""content"": ""Furthermore, within the meaning of the law, \u201cfacts\u201d also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation"", ""start_index"": 0, ""end_index"": 424}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
8,How can false assurances and representations of other false facts impact the concept of 'facts' within the legal framework?,"[{""content"": ""Furthermore, within the meaning of the law, \u201cfacts\u201d also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation"", ""start_index"": 0, ""end_index"": 424}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
9,How does the text describe the effect of false assurances on the perception of future fulfillment of obligations within the legal context?,"[{""content"": ""Furthermore, within the meaning of the law, \u201cfacts\u201d also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation"", ""start_index"": 0, ""end_index"": 424}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt,
10,What is one of the required elements for the crime of fraud under Article 386 paragraph 1 of the Greek Penal Code?,"[{""content"": ""a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;"", ""start_index"": 668, ""end_index"": 821}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
11,"According to Article 386 paragraph 1 of the Greek Penal Code, what is the minimum imprisonment term for causing damage to another person's property through fraud if the damage caused is particularly large?","[{""content"": ""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person\u2019s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years"", ""start_index"": 81, ""end_index"": 547}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
12,What is the required intent for an act to be considered fraudulent under Article 386 of the Greek Penal Code?,"[{""content"": ""for the crime of fraud to be established, the following elements are required:\n\na) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;"", ""start_index"": 588, ""end_index"": 821}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
