,Unnamed: 0,question,location,corpus_id,references
0,0,What is the minimum duration of imprisonment if the damage caused is particularly great?,"if the damage caused is particularly great, with imprisonment of at least three (3) months and a fine.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt,
1,1,"What is the maximum duration of imprisonment if the damage caused exceeds 120,000 euros?","exceeds a total of one hundred and twenty thousand (120,000) euros, imprisonment of up to ten (10) years and a fine shall be imposed.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt,
2,2,What is the maximum imprisonment term if the fraud against the Greek State exceeds a total of one hundred and twenty thousand euros?,"If the fraud is directed directly against the legal entity of the Greek State, legal entities governed by public law, or local government organizations, and the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, a prison sentence of at least ten (10) years and a fine of up to one thousand (1,000) daily units shall be imposed.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt,
3,3,How many years is the offense time-barred after if the fraud is against the Greek State?,This offense shall be time-barred after twenty (20) years.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt,
4,4,What are the potential penalties for accessing data without right?,"Everyone who obtains access to data recorded in a computer or in the external memory of a computer or transmitted by telecommunication systems shall be punished with imprisonment for up to six months or by a fine from 29 to 15,000 Euro",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt,
5,5,Under what condition would accessing data without right lead to imprisonment for up to six months?,Everyone who obtains access to data recorded in a computer or in the external memory of a computer or transmitted by telecommunication systems shall be punished with imprisonment for up to six months,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt,
6,6,How would the offender be punished if the act concerns the international relations or the security of the State?,"If the act concerns the international relations or the security of the State, he shall be punished according to Article 148.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt,
7,7,In what circumstances will the act of accessing data be punished if the offender is in the service of the legal holder?,"If the offender is in the service of the legal holder of the data, the act of the preceding paragraph shall be punished only if it has been explicitly prohibited by internal regulations or by a written decision of the holder or of a competent employee of his.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Unauthorized data access - Article 370Γ ΠΚ.txt,
8,8,What does Article 386 paragraph 1 of the Greek Penal Code define as the establishment of the crime of fraud?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts...",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt,
9,9,In what circumstances does the crime of fraud occur according to Article 386 paragraph 1 of the Greek Penal Code?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts...",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt,
10,10,What is the intent behind deceiving another person in the context of fraud as per Article 386 paragraph 1 of the Greek Penal Code?,with the intent of obtaining an unlawful benefit for themselves or another.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt,
11,11,"According to Article 386 paragraph 1 of the Greek Penal Code, is the achievement of the intended benefit relevant in the crime of fraud?",It is irrelevant whether or not this intended benefit was actually achieved.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt,
12,12,What type of situations would create the impression of future fulfillment based on false facts?,"in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt,
13,13,Who has made the decision not to fulfill their obligation?,who has already made the decision not to fulfill their obligation,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt,
14,14,What provision of the Greek Penal Code is referenced in the text?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
15,15,What is the minimum imprisonment term for the crime of fraud according to the provision?,"by imprisonment of at least three months,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
16,16,What specific action qualifies as establishing the crime of fraud in the provided context?,"cause damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
17,17,What elements are required for the crime of fraud to be established?,"From this provision, it follows that for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
18,18,What must the perpetrator intend to obtain for themselves or another to establish fraud?,"a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
19,19,What type of facts must the perpetrator knowingly misrepresent to establish fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
20,20,Is it necessary for the deceived person to be the same as the one who suffered the damage in a fraud case?,It is not required that the person deceived be the same person who suffered the damage.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
21,21,What type of damage must be causally linked to the fraudulent conduct?,"Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
22,22,Is it required that the person deceived be the same person who suffered the damage?,It is not required that the person deceived be the same person who suffered the damage.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
23,23,What must the damage be as an element of the objective aspect of fraud?,"However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
24,24,What connection must exist between the perpetrator's behavior and the deception caused by it?,There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
25,25,What connection must exist between the deception and the resulting property damage?,there must be a causal connection between this deception and the resulting property damage,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
26,26,"What must the property damage be as a result of the deception and the act, omission or acquiescence?","the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
