,Unnamed: 0,question,location,corpus_id
0,0.0,Who is protected under Article 386 paragraph 1 of the Greek Penal Code?,"a person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt
1,1.0,Does the deceived person have to suffer financial harm?,which directly and necessarily causes financial harm to the deceived person or another,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt
2,2.0,Is achieving the unlawful benefit essential for establishing fraud?,It is irrelevant whether or not this intended benefit was actually achieved.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt
3,3.0,What do 'facts' encompass within the meaning of the law?,"Furthermore, within the meaning of the law, “facts” also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt
4,4.0,In what manner may false assurances and representations of other false facts create an impression of future fulfillment?,"in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1484_2018.txt
5,5.0,Under what circumstances shall the perpetrator of fraud be punished?,"Whoever...another, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
6,6.0,What is required for the crime of fraud to be established according to the provision?,"From this provision, it follows that for the crime of fraud to be established, the following elements are required",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
7,7.0,What specific actions must the perpetrator take to establish the crime of fraud?,"From this provision, it follows that for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
8,8.0,What type of benefit must the perpetrator intend to obtain?,"Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
9,9.0,Who must suffer damage for the crime of fraud to be established?,"c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
10,10.0,Is it necessary for the deceived person to be the same as the one who suffered the damage?,It is not required that the person deceived be the same person who suffered the damage.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
11,11.0,What impact must the fraudulent conduct have on the property?,"c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
12,12.0,Who should the damage be causally linked to?,"c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
13,13.0,Is it necessary for the deceived person to be the one who suffered the property damage?,It is not required that the person deceived be the same person who suffered the damage.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
14,14.0,How should the damage be related to the property disposition?,"However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition—namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator’s fraudulent conduct.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
15,15.0,What is necessary for property damage to be considered as an element of the objective aspect of the crime of fraud?,"However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
16,16.0,What type of circumstances do the term 'facts' refer to?,The term “facts” refers to real circumstances relating to the past or present,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
17,17.0,What must be the outcome of the deception in relation to property damage?,"the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
18,18.0,When is the crime of fraud established in relation to promises and obligations?,"when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
19,19.0,When does the time of commission of the fraud occur?,"The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
20,20.0,Is the time of the victim's financial loss occurrence relevant in determining the time of fraud commission?,"Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt
21,21.0,What specific punishment does the Greek Penal Code prescribe for the crime of fraud?,"shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
22,22.0,What is required for the crime of fraud to be established according to the Greek Penal Code?,"From these provisions, it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
23,23.0,Under what circumstances does the Greek Penal Code punish for the crime of fraud?,"Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
24,24.0,What elements are required for the crime of fraud to be established?,"From these provisions, it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
25,25.0,What must the intent of the perpetrator entail in the crime of fraud?,a) The intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit;,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
26,26.0,What type of facts must the perpetrator knowingly misrepresent as true in the crime of fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
27,27.0,What must be causally connected to the perpetrator's deceptive acts?,"c) Damage to another’s property, as defined under civil law, which must be causally connected to the perpetrator’s deceptive acts.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
28,28.0,How is the crime of fraud established?,"From the above provisions, it is deduced that the crime of fraud is established both objectively and subjectively through the knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true ones, by which another person is deceived and, as a result, performs an act, omission, or acquiescence involving a disposition of property that directly and necessarily causes financial damage to the deceived person or another, with the intent that the perpetrator or another gain an unlawful benefit.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
29,29.0,When must the false fact have existed according to the provision?,"The false fact must have existed in the past or must be a present circumstance at the time it is asserted, and cannot relate to the future.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
30,30.0,"According to the text, if a false fact refers to the future, what type of circumstances are expected?",such as mere promises or contractual obligations,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
31,31.0,What type of crime is established if false assurances and representations of false facts create an impression of future fulfillment based on a false present situation?,then the crime of fraud is established,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
32,32.0,What is required to establish the crime of fraud if false assurances and representations relate to the future?,The crime of fraud is established when future circumstances... accompanied by false assurances and representations of other false facts referring to the present or past...,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt
33,33.0,What is the minimum imprisonment duration for causing damage under the mentioned provision?,"Whoever...an unlawful pecuniary benefit, shall be punished by imprisonment of at least three months",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 378_2015.txt
34,34.0,What type of benefit must the perpetrator intend to obtain?,The intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 378_2015.txt
35,35.0,What actions can be considered as elements for the crime of fraud under the provision?,"causes damage to another’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 378_2015.txt
36,36.0,What is the second element required for the establishment of the crime of fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which—serving as the causal factor—someone is deceived and performs an act, omission, or acquiescence",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 378_2015.txt
37,37.0,"According to civil law, what must be causally connected to the perpetrator's deceptive acts or omissions?","c) Damage to another’s property, according to civil law, which must be causally connected to the perpetrator’s deceptive acts or omissions",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 378_2015.txt
