,question,references,corpus_id
0,What are the crimes described in par. 1 and 2?,"Any person who intentionally, through the technology of information and communication, suggests an encounter between an adult and a minor under the age of fifteen, aiming at the commitment of the crimes described in par. 1 and 2 of art. 339 and 348Α",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
1,What is the minimum imprisonment sentence for the described action?,is sentenced to an imprisonment of at least two years,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
2,What is the range for the fine that may be imposed?,and a fine of fifty to two hundred thousand Euros,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
3,Is the fine mandatory for the described offense?,"a fine of fifty to two hundred thousand Euros, when the proposal is followed by further actions",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt
4,What is the minimum imprisonment term for intentionally producing child pornographic material through a computer system?,"Any person who intentionally produces, offers, sells or in any way distributes, transfers, purchases, obtains or acquires child pornographic material or broadcasts information concerning the executions of such actions through a computer system or through the Internet is sentenced to at least two years’ imprisonment and a fine of fifty to three hundred thousand Euros.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
5,"What are the actions in the first and second paragraph punishable by, if certain conditions are met?",Actions of the first and second paragraph are punishable by imprisonment of up to ten years and a fine of fifty to one hundred thousand Euros,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
6,Under what conditions can the actions of the first and second paragraph lead to imprisonment and a fine?,Actions of the first and second paragraph are punishable by imprisonment of up to ten years and a fine of fifty to one hundred thousand Euros,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
7,At what age is it illegal to use a minor for child pornographic material according to the excerpt?,using a minor under the age of fifteen.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
8,What consequences are stated for exploiting the mental or intellectual weakness of a minor for child pornographic material production?,"the production of child pornographic material is connected to the exploiting of the need, mental or intellectual weakness",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
9,What would be the penalty if the act in case b) caused grievous bodily harm?,"If such an act as described in case b) resulted in grievous bodily harm to the victim, it will entail a sentence of at least ten years' imprisonment and a fine of one hundred thousand to five hundred thousand Euros.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
10,What is the penalty for the act in case b) that results in the victim's death?,"If, however, such an act resulted in the victim’s death, then life imprisonment is imposed.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt
11,Who could face imprisonment according to the text?,"Whoever, with the intent of obtaining for himself or a third person an unlawful material benefit, damages the assets of another by influencing the result of a data processing operation through incorrect configuration of a program, use of incorrect or incomplete data, or with any other influence, shall be punished with imprisonment for 3 months to 5 years.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Computer fraud - Article 386Α ΠK.txt
