,question,location,corpus_id
0,What type of scam is email phishing?,Email phishing is a type of identity theft scam conducted via email or SMS.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
1,How are victims tricked in email phishing scams?,Victims are tricked into disclosing personal information or downloading malware.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
2,Can you provide an example of a scenario involving fraud through SMS messages?,- Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
3,What do email or SMS attackers use to deceive victims?,The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
4,What type of communication does an attacker intercept?,"An attacker intercepts communication between a victim and a trusted entity, often using email spoofing.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Man-in-the-Middle Attack.txt
5,Give an example of a spoofed email address used in the scenario.,"- A spoofed email (e.g., info-bank-usa@gmail.com) is used to redirect users to fraudulent websites or request unauthorized payments.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Man-in-the-Middle Attack.txt
6,What risk do victims face when scanning malicious QR codes?,Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Quishing (QR Code Phishing).txt
7,What is the method attackers use to gain control of a victim's phone number?,Attackers take control of a victim’s phone number by fraudulently requesting a SIM replacement from telecom providers using fake IDs.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/SIM Swapping.txt
8,What do attackers gain access to once the new SIM is activated?,"Once the new SIM is activated, attackers intercept calls and SMS (including OTPs), gaining unauthorized access to bank accounts and sensitive apps.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/SIM Swapping.txt
9,Who can attackers impersonate on platforms like Facebook or Instagram?,Attackers exploit platforms like Facebook or Instagram to impersonate friends or brands.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Social Media Phishing.txt
10,How do attackers bait victims into giving up personal data?,They bait victims into clicking malicious links or giving up personal data.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Social Media Phishing.txt
11,What do fake identities do to execute data theft?,Fake identities mimic users or support agents to build trust and execute data theft via messages or misleading support threads.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Social Media Phishing.txt
12,Who can be targeted in a whaling attack?,Whaling: High-ranking executives are targeted using tailored fraud emails that press for immediate action without verification.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Spear Phishing.txt
13,What type of data can attackers extract in CEO Fraud?,CEO Fraud: Attackers impersonate executives to extract financial or sensitive data from employees.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Spear Phishing.txt
14,When did the victims give away credentials?,"Victims are coerced into giving away PINs, passwords, or other credentials under false pretenses of legal or financial emergencies.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Vishing (Voice Phishing).txt
15,What details are extracted during voice phishing?,Attackers pose as bank officials or authorities and use intimidation to extract financial details.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Vishing (Voice Phishing).txt
16,Who manipulates victims over the phone in voice phishing?,Voice phishing involves manipulating victims over the phone.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Vishing (Voice Phishing).txt
17,As what do attackers pose in voice phishing?,Attackers pose as bank officials or authorities and use intimidation to extract financial details.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Vishing (Voice Phishing).txt
