,question,references,corpus_id
0,What type of scam is email phishing?,Email phishing is a type of identity theft scam conducted via email or SMS.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
1,In what scenario are victims tricked into downloading malware?,Victims are tricked into disclosing personal information or downloading malware.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
2,What entities do attackers impersonate in Scenario 1?,Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes...,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
3,What kind of websites do victims get directed to in Scenario 2?,directing them to spoofed websites to input credentials.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
4,What method does an attacker use to intercept communication?,"An attacker intercepts communication between a victim and a trusted entity, often using email spoofing.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Man-in-the-Middle Attack.txt
5,How is a victim tricked into disclosing sensitive data?,The goal is to eavesdrop or modify communication to trick the user into disclosing sensitive data.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Man-in-the-Middle Attack.txt
6,Who are the attackers targeting with the QR code exploit?,attackers exploit QR codes to redirect users to fraudulent sites,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Quishing (QR Code Phishing).txt
7,What information are victims led to input on malicious websites?,Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Quishing (QR Code Phishing).txt
8,Where are victims led when they scan the fraudulent QR code?,Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Quishing (QR Code Phishing).txt
9,What kind of emails are often tied to the exploitation of QR codes?,This is often tied to fake emails about undelivered shipments or failed payments.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Quishing (QR Code Phishing).txt
10,Who gains unauthorized access to bank accounts and sensitive apps?,"Attackers intercept calls and SMS (including OTPs), gaining unauthorized access to bank accounts and sensitive apps.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/SIM Swapping.txt
11,Who may attackers impersonate on platforms like Facebook or Instagram?,Attackers exploit platforms like Facebook or Instagram to impersonate friends or brands.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Social Media Phishing.txt
12,How do attackers bait victims?,They bait victims into clicking malicious links or giving up personal data.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Social Media Phishing.txt
13,How do fake identities execute data theft?,Fake identities mimic users or support agents to build trust and execute data theft via messages or misleading support threads.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Social Media Phishing.txt
14,What type of fraud involves attackers impersonating executives?,CEO Fraud: Attackers impersonate executives to extract financial or sensitive data from employees.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Spear Phishing.txt
15,What do high-ranking executives fall victim to in the context of tailored fraud emails?,Whaling: High-ranking executives are targeted using tailored fraud emails that press for immediate action without verification.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Spear Phishing.txt
16,What type of details are victims coerced into giving away in voice phishing attacks?,"Victims are coerced into giving away PINs, passwords, or other credentials under false pretenses of legal or financial emergencies.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Vishing (Voice Phishing).txt
