,question,references,corpus_id
0,Under what circumstances can processing of personal data relating to criminal convictions be carried out?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10_ Processing of personal data relating to criminal convictions and offences .txt
1,Who is responsible for keeping any comprehensive register of criminal convictions?,"[{""content"": ""Any comprehensive register of criminal convictions shall be kept only under the control of official authority"", ""start_index"": 340, ""end_index"": 449}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10_ Processing of personal data relating to criminal convictions and offences .txt
2,When can processing of personal data relating to criminal convictions be carried out?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10_ Processing of personal data relating to criminal convictions and offences .txt
3,What is required for the processing of personal data relating to criminal convictions under Article 6(1)?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10_ Processing of personal data relating to criminal convictions and offences .txt
4,Who should carry out the processing of personal data relating to criminal convictions under Article 6(1)?,"[{""content"": ""Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects"", ""start_index"": 0, ""end_index"": 338}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10_ Processing of personal data relating to criminal convictions and offences .txt
5,Under what circumstances is the controller not obliged to identify the data subject according to the Regulation?,"[{""content"": ""If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation"", ""start_index"": 2, ""end_index"": 335}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11_ Processing which does not require identification.txt
6,What is the controller required to do if they are unable to identify the data subject?,"[{""content"": ""Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible"", ""start_index"": 339, ""end_index"": 565}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11_ Processing which does not require identification.txt
7,When can the controller refrain from acquiring additional information to identify the data subject?,"[{""content"": ""If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation"", ""start_index"": 2, ""end_index"": 335}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11_ Processing which does not require identification.txt
8,What articles do not apply if the controller cannot identify the data subject?,"[{""content"": ""Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible. In such cases, Articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification"", ""start_index"": 339, ""end_index"": 783}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11_ Processing which does not require identification.txt
9,What actions are required if the controller is unable to identify the data subject under the Regulation?,"[{""content"": ""Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible"", ""start_index"": 339, ""end_index"": 565}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11_ Processing which does not require identification.txt
10,What is required of the controller concerning the provision of information to the data subject?,"[{""content"": ""1.The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child"", ""start_index"": 0, ""end_index"": 373}, {""content"": ""The information shall be provided in writing, or by other means, including, where appropriate, by electronic means"", ""start_index"": 375, ""end_index"": 489}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
11,How should the controller ensure the information is presented to the data subject?,"[{""content"": ""1.The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child"", ""start_index"": 0, ""end_index"": 373}, {""content"": ""The information shall be provided in writing, or by other means, including, where appropriate, by electronic means"", ""start_index"": 375, ""end_index"": 489}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
12,What is the controller required to do regarding the exercise of data subject rights?,"[{""content"": ""2.The controller shall facilitate the exercise of data subject rights under Articles 15 to 22"", ""start_index"": 660, ""end_index"": 753}, {""content"": ""In the cases referred to in Article 11(2), the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject"", ""start_index"": 755, ""end_index"": 1022}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
13,What is the controller obligated to provide when requested by the data subject regarding information?,"[{""content"": ""The information shall be provided in writing, or by other means, including, where appropriate, by electronic means"", ""start_index"": 375, ""end_index"": 489}, {""content"": ""When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means"", ""start_index"": 491, ""end_index"": 638}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
14,How can the controller deliver information to the data subject?,"[{""content"": ""The information shall be provided in writing, or by other means, including, where appropriate, by electronic means"", ""start_index"": 375, ""end_index"": 489}, {""content"": ""When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means"", ""start_index"": 491, ""end_index"": 638}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
15,What are the requirements regarding informing the data subject about the status of their request under Articles 15 to 22?,"[{""content"": ""3.The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request"", ""start_index"": 0, ""end_index"": 195}, {""content"": ""4.If the controller does not take action on the request of the data subject, the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy"", ""start_index"": 664, ""end_index"": 1002}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
16,When must the controller inform the data subject about an extension of the time limit for responding to a request under Articles 15 to 22?,"[{""content"": ""The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay"", ""start_index"": 327, ""end_index"": 477}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
17,What actions must the controller take if they do not respond to the data subject's request under Articles 15 to 22?,"[{""content"": ""If the controller does not take action on the request of the data subject, the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy"", ""start_index"": 666, ""end_index"": 1002}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
18,How should the controller provide information to the data subject if an extension is needed to respond to their request under Articles 15 to 22?,"[{""content"": ""The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay"", ""start_index"": 327, ""end_index"": 477}, {""content"": ""Where the data subject makes the request by electronic form means, the information shall be provided by electronic means where possible, unless otherwise requested by the data subject"", ""start_index"": 479, ""end_index"": 662}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
19,What is the maximum period by which the time limit for responding to a request under Articles 15 to 22 can be extended?,"[{""content"": ""The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request"", ""start_index"": 2, ""end_index"": 195}, {""content"": ""That period may be extended by two further months where necessary, taking into account the complexity and number of the requests"", ""start_index"": 197, ""end_index"": 325}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
20,What actions can the controller take if a data subject's request is considered manifestly unfounded or excessive?,"[{""content"": ""Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either: (a)  charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested; or (b)  refuse to act on the request"", ""start_index"": 497, ""end_index"": 839}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
21,What is the timeline within which the controller must inform the data subject if no action is taken on their request?,"[{""content"": ""4.If the controller does not take action on the request of the data subject, the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy"", ""start_index"": 0, ""end_index"": 338}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
22,What options does the controller have when faced with a data subject's manifestly unfounded or excessive request?,"[{""content"": ""Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either: (a)  charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested; or (b)  refuse to act on the request"", ""start_index"": 497, ""end_index"": 839}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
23,Under what circumstances can a controller refuse to act on a data subject's request?,"[{""content"": ""Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either: (a)  charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested; or (b)  refuse to act on the request"", ""start_index"": 497, ""end_index"": 839}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
24,Is the data subject entitled to free provision of information under specific articles?,"[{""content"": ""5.Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge"", ""start_index"": 340, ""end_index"": 495}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
25,What type of acts can the Commission adopt in accordance with Article 92?,"[{""content"": ""8.The Commission shall be empowered to adopt delegated acts in accordance with Article 92 for the purpose of determining the information to be presented by the icons and the procedures for providing standardised icons"", ""start_index"": 641, ""end_index"": 858}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
26,How can the controller confirm the identity of the data subject if there are doubts?,"[{""content"": ""Without prejudice to Article 11, where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in Articles 15 to 21, the controller may request the provision of additional information necessary to confirm the identity of the data subject"", ""start_index"": 2, ""end_index"": 297}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
27,What is the purpose of providing information to data subjects using standardised icons?,"[{""content"": ""7.The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing"", ""start_index"": 299, ""end_index"": 562}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
28,What is the role of the Commission in determining the information presented by the icons?,"[{""content"": ""8.The Commission shall be empowered to adopt delegated acts in accordance with Article 92 for the purpose of determining the information to be presented by the icons and the procedures for providing standardised icons"", ""start_index"": 641, ""end_index"": 858}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
29,How should information be presented to data subjects using icons?,"[{""content"": ""7.The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing"", ""start_index"": 299, ""end_index"": 562}, {""content"": ""Where the icons are presented electronically they shall be machine-readable"", ""start_index"": 564, ""end_index"": 639}]","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt"
30,What information must the controller provide to the data subject when collecting personal data?,"[{""content"": ""Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: (a)  the identity and the contact details of the controller and, where applicable, of the controller's representative; (b)  the contact details of the data protection officer, where applicable; (c)  the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;"", ""start_index"": 2, ""end_index"": 534}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13_ Information to be provided where personal data are collected from the data subject.txt
31,When should the controller provide the data subject with specific information about the processing of personal data?,"[{""content"": ""Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: (a)  the identity and the contact details of the controller and, where applicable, of the controller's representative; (b)  the contact details of the data protection officer, where applicable; (c)  the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;"", ""start_index"": 2, ""end_index"": 534}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13_ Information to be provided where personal data are collected from the data subject.txt
32,What details must the controller provide to the data subject regarding the purposes of data processing?,"[{""content"": ""(c)  the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;"", ""start_index"": 411, ""end_index"": 534}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13_ Information to be provided where personal data are collected from the data subject.txt
33,What contact details should the controller provide the data subject when collecting personal data?,"[{""content"": ""the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: (a)  the identity and the contact details of the controller and, where applicable, of the controller's representative; (b)  the contact details of the data protection officer, where applicable;"", ""start_index"": 86, ""end_index"": 410}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13_ Information to be provided where personal data are collected from the data subject.txt
34,What information should be provided to the data subject regarding the identity of the controller when collecting personal data?,"[{""content"": ""(a)  the identity and the contact details of the controller and, where applicable, of the controller's representative;"", ""start_index"": 217, ""end_index"": 335}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13_ Information to be provided where personal data are collected from the data subject.txt
