,question,references,corpus_id
0,What are the penalties for damaging property by persuading someone to act based on false facts?,"[{""content"": ""Anyone who, by knowingly presenting false facts as true or by unlawfully concealing or withholding true facts, damages another person's property by persuading someone to act, omission, or tolerance with the aim of obtaining, for themselves or another, an unlawful financial gain from the damage to that property shall be punished with imprisonment, \""and if the damage caused is particularly great, with imprisonment of at least three (3) months and a fine.\"" "", ""start_index"": 3, ""end_index"": 461}, {""content"": ""If the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, imprisonment of up to ten (10) years and a fine shall be imposed"", ""start_index"": 463, ""end_index"": 616}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
1,"What are the consequences for causing damage that exceeds 120,000 euros?","[{""content"": ""If the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, imprisonment of up to ten (10) years and a fine shall be imposed"", ""start_index"": 463, ""end_index"": 616}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
2,What penalties apply for damaging property through the presentation of false facts for unlawful financial gain?,"[{""content"": ""Anyone who, by knowingly presenting false facts as true or by unlawfully concealing or withholding true facts, damages another person's property by persuading someone to act, omission, or tolerance with the aim of obtaining, for themselves or another, an unlawful financial gain from the damage to that property shall be punished with imprisonment"", ""start_index"": 3, ""end_index"": 350}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
3,"What penalties are enforced for damaging property through deception to achieve unlawful financial gain if the damage surpasses 120,000 euros?","[{""content"": ""If the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, imprisonment of up to ten (10) years and a fine shall be imposed"", ""start_index"": 463, ""end_index"": 616}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
4,What is the minimum imprisonment term for persuading someone to act based on false facts to cause significant property damage?,"[{""content"": ""Anyone who, by knowingly presenting false facts as true or by unlawfully concealing or withholding true facts, damages another person's property by persuading someone to act, omission, or tolerance with the aim of obtaining, for themselves or another, an unlawful financial gain from the damage to that property shall be punished with imprisonment, \""and if the damage caused is particularly great, with imprisonment of at least three (3) months and a fine"", ""start_index"": 3, ""end_index"": 458}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
5,"What are the consequences if the fraud is directed directly against specific legal entities and the damage exceeds 120,000 euros?","[{""content"": ""2. If the fraud is directed directly against the legal entity of the Greek State, legal entities governed by public law, or local government organizations, and the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, a prison sentence of at least ten (10) years and a fine of up to one thousand (1,000) daily units shall be imposed. This offense shall be time-barred after twenty (20) years"", ""start_index"": 155, ""end_index"": 574}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
6,"What are the potential penalties for committing fraud if the damage caused exceeds 120,000 euros in the context of local government organizations according to Greek law?","[{""content"": ""2. If the fraud is directed directly against the legal entity of the Greek State, legal entities governed by public law, or local government organizations, and the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, a prison sentence of at least ten (10) years and a fine of up to one thousand (1,000) daily units shall be imposed"", ""start_index"": 155, ""end_index"": 515}, {""content"": ""This offense shall be time-barred after twenty (20) years"", ""start_index"": 517, ""end_index"": 574}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
7,"What penalties apply if the damage caused exceeds 120,000 euros in cases where fraud is directed at the Greek State or entities governed by public law?","[{""content"": ""If the fraud is directed directly against the legal entity of the Greek State, legal entities governed by public law, or local government organizations, and the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, a prison sentence of at least ten (10) years and a fine of up to one thousand (1,000) daily units shall be imposed"", ""start_index"": 158, ""end_index"": 515}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
8,"What happens if the damage caused exceeds 120,000 euros in relation to fraud directed at the legal entity of the Greek State under Greek law?","[{""content"": ""2. If the fraud is directed directly against the legal entity of the Greek State, legal entities governed by public law, or local government organizations, and the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, a prison sentence of at least ten (10) years and a fine of up to one thousand (1,000) daily units shall be imposed. This offense shall be time-barred after twenty (20) years"", ""start_index"": 155, ""end_index"": 574}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
9,"What are the consequences for committing fraud against local government organizations under Greek law if the damage exceeds 120,000 euros?","[{""content"": ""2. If the fraud is directed directly against the legal entity of the Greek State, legal entities governed by public law, or local government organizations, and the damage caused exceeds a total of one hundred and twenty thousand (120,000) euros, a prison sentence of at least ten (10) years and a fine of up to one thousand (1,000) daily units shall be imposed. This offense shall be time-barred after twenty (20) years"", ""start_index"": 155, ""end_index"": 574}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Fraud - Article 386 ΠΚ.txt
