,anchor,positive,global_chunk_id,id
0,Who is protected under Article 386 paragraph 1 of the Greek Penal Code?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another. It is irrelevant whether or not this intended benefit was actually achieved.

Furthermore, within the meaning of the law, “facts” also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation.",0,0
1,Does the deceived person have to suffer financial harm?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another. It is irrelevant whether or not this intended benefit was actually achieved.

Furthermore, within the meaning of the law, “facts” also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation.",0,1
2,Is achieving the unlawful benefit essential for establishing fraud?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another. It is irrelevant whether or not this intended benefit was actually achieved.

Furthermore, within the meaning of the law, “facts” also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation.",0,2
3,What do 'facts' encompass within the meaning of the law?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another. It is irrelevant whether or not this intended benefit was actually achieved.

Furthermore, within the meaning of the law, “facts” also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation.",0,3
4,In what manner may false assurances and representations of other false facts create an impression of future fulfillment?,"According to Article 386 paragraph 1 of the Greek Penal Code, the crime of fraud is established both objectively and subjectively when a person knowingly presents false facts as true, or unlawfully conceals or suppresses true facts, thereby deceiving another person who, as a result of this deception, performs an act, omission, or acquiescence that involves a disposition of property, which directly and necessarily causes financial harm to the deceived person or another, with the intent of obtaining an unlawful benefit for themselves or another. It is irrelevant whether or not this intended benefit was actually achieved.

Furthermore, within the meaning of the law, “facts” also include those referring to future events and promises, when they are accompanied by false assurances and representations of other false facts relating to the past or present, in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator, who has already made the decision not to fulfill their obligation.",0,4
5,Under what circumstances shall the perpetrator of fraud be punished?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,

""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.""

From this provision, it follows that for the crime of fraud to be established, the following elements are required:

a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;

b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence); and

c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage.

Property damage exists when there is a reduction or deterioration in the victim’s assets, even if the victim has an active claim to restitution. However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition—namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator’s fraudulent conduct.

There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person.

The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations. However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established.

The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party. Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",1,5
6,What is required for the crime of fraud to be established according to the provision?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,

""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.""

From this provision, it follows that for the crime of fraud to be established, the following elements are required:

a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;

b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence); and

c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage.

Property damage exists when there is a reduction or deterioration in the victim’s assets, even if the victim has an active claim to restitution. However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition—namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator’s fraudulent conduct.

There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person.

The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations. However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established.

The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party. Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",1,6
7,What specific actions must the perpetrator take to establish the crime of fraud?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,

""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.""

From this provision, it follows that for the crime of fraud to be established, the following elements are required:

a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;

b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence); and

c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage.

Property damage exists when there is a reduction or deterioration in the victim’s assets, even if the victim has an active claim to restitution. However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition—namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator’s fraudulent conduct.

There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person.

The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations. However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established.

The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party. Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",1,7
8,What type of benefit must the perpetrator intend to obtain?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,

""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.""

From this provision, it follows that for the crime of fraud to be established, the following elements are required:

a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;

b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence); and

c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage.

Property damage exists when there is a reduction or deterioration in the victim’s assets, even if the victim has an active claim to restitution. However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition—namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator’s fraudulent conduct.

There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person.

The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations. However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established.

The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party. Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",1,8
9,Who must suffer damage for the crime of fraud to be established?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,

""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.""

From this provision, it follows that for the crime of fraud to be established, the following elements are required:

a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;

b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence); and

c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage.

Property damage exists when there is a reduction or deterioration in the victim’s assets, even if the victim has an active claim to restitution. However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition—namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator’s fraudulent conduct.

There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person.

The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations. However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established.

The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party. Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",1,9
10,Is it necessary for the deceived person to be the same as the one who suffered the damage?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,

""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.""

From this provision, it follows that for the crime of fraud to be established, the following elements are required:

a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;

b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence); and

c) Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage.

Property damage exists when there is a reduction or deterioration in the victim’s assets, even if the victim has an active claim to restitution. However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition—namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator’s fraudulent conduct.

There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person.

The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations. However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established.

The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party. Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",1,10
