,anchor,positive,global_chunk_id,id
0,What type of scam is email phishing?,"Email phishing is a type of identity theft scam conducted via email or SMS. The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency. Victims are tricked into disclosing personal information or downloading malware.

Scenarios:
- Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments.
- Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials.
- Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data.
- Scenario 4: SMS links lead to pharming sites that mimic trusted brands and steal login data through fake pop-ups.",298,0
1,In what scenario are victims tricked into downloading malware?,"Email phishing is a type of identity theft scam conducted via email or SMS. The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency. Victims are tricked into disclosing personal information or downloading malware.

Scenarios:
- Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments.
- Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials.
- Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data.
- Scenario 4: SMS links lead to pharming sites that mimic trusted brands and steal login data through fake pop-ups.",298,1
2,What entities do attackers impersonate in Scenario 1?,"Email phishing is a type of identity theft scam conducted via email or SMS. The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency. Victims are tricked into disclosing personal information or downloading malware.

Scenarios:
- Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments.
- Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials.
- Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data.
- Scenario 4: SMS links lead to pharming sites that mimic trusted brands and steal login data through fake pop-ups.",298,2
3,What kind of websites do victims get directed to in Scenario 2?,"Email phishing is a type of identity theft scam conducted via email or SMS. The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency. Victims are tricked into disclosing personal information or downloading malware.

Scenarios:
- Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments.
- Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials.
- Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data.
- Scenario 4: SMS links lead to pharming sites that mimic trusted brands and steal login data through fake pop-ups.",298,3
4,What method does an attacker use to intercept communication?,"An attacker intercepts communication between a victim and a trusted entity, often using email spoofing. The goal is to eavesdrop or modify communication to trick the user into disclosing sensitive data.

Scenario:
- A spoofed email (e.g., info-bank-usa@gmail.com) is used to redirect users to fraudulent websites or request unauthorized payments.",299,4
5,How is a victim tricked into disclosing sensitive data?,"An attacker intercepts communication between a victim and a trusted entity, often using email spoofing. The goal is to eavesdrop or modify communication to trick the user into disclosing sensitive data.

Scenario:
- A spoofed email (e.g., info-bank-usa@gmail.com) is used to redirect users to fraudulent websites or request unauthorized payments.",299,5
6,Who are the attackers targeting with the QR code exploit?,"In quishing, attackers exploit QR codes to redirect users to fraudulent sites. This is often tied to fake emails about undelivered shipments or failed payments.

Scenario:
- Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites.",300,6
7,What information are victims led to input on malicious websites?,"In quishing, attackers exploit QR codes to redirect users to fraudulent sites. This is often tied to fake emails about undelivered shipments or failed payments.

Scenario:
- Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites.",300,7
8,Where are victims led when they scan the fraudulent QR code?,"In quishing, attackers exploit QR codes to redirect users to fraudulent sites. This is often tied to fake emails about undelivered shipments or failed payments.

Scenario:
- Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites.",300,8
9,What kind of emails are often tied to the exploitation of QR codes?,"In quishing, attackers exploit QR codes to redirect users to fraudulent sites. This is often tied to fake emails about undelivered shipments or failed payments.

Scenario:
- Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites.",300,9
