,question,references,corpus_id
0,Under which article of the Penal Code was the conviction based?,"{'exact_text': 'Article 386 of the Penal Code', 'start_chunk': 'Provisions: Article 386 of the Penal Code', 'end_chunk': 'Provisions: Article 386 of the Penal Code'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
1,What type of fraud was the defendant convicted of committing repeatedly and professionally?,"{'exact_text': 'computer fraud committed repeatedly and professionally', 'start_chunk': 'Conviction for computer fraud committed repeatedly and professionally', 'end_chunk': 'computer fraud committed repeatedly and professionally'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
2,What was the total benefit and damage amount resulting from the fraud?,"{'exact_text': 'total benefit and damage exceeding €30,000', 'start_chunk': 'Conviction for computer fraud committed repeatedly', 'end_chunk': 'total financial benefit and corresponding damage exceed the amount of €30,000'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
3,"What financial crime, besides computer fraud, was the defendant repeatedly committing?","{'exact_text': 'repeated embezzlement', 'start_chunk': 'computer, committed repeatedly', 'end_chunk': 'repeated embezzlement'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
4,During which period did the defendant unlawfully acquire the stick containing the access codes?,"{'reference_text': 'Specifically, during the period from June 2007 to June 2008, after unlawfully acquiring the aforementioned STICK containing the access codes,', 'start_chunk': 1, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
5,What did the defendant transfer through electronically transmitted orders?,"{'reference_text': 'transferring through electronically transmitted orders to the joint account number ... of the complainants from bank accounts numbered ..., ..., and ..', 'start_chunk': 2, 'end_chunk': 2}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
6,Whose access codes did the defendant use without knowledge or consent?,"{'reference_text': 'without the knowledge and consent of the complainants, the access codes for the electronic management system of the bank accounts held by the complainants at a Bank', 'start_chunk': 1, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
7,Where did the defendant access using the unlawfully acquired access codes?,"{'reference_text': 'Specifically, during the period from June 2007 to June 2008, after unlawfully acquiring the aforementioned STICK containing the access codes, she accessed a website maintained by ..., using,', 'start_chunk': 1, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
8,How many individual ATM withdrawals did the defendant make?,"{'text': 'making 84 individual withdrawals from automatic teller machines', 'start_chunk': 270, 'end_chunk': 325}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
9,What is the total amount withdrawn by the defendant using an ATM card?,"{'text': 'she gradually withdrew from the aforementioned account number ..., the total amount of €55,710', 'start_chunk': 246, 'end_chunk': 270}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
10,During which period did the defendant transfer money through the electronic management system?,"{'text': 'during the period from June 2008 to November 2008', 'start_chunk': 335, 'end_chunk': 374}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
11,"How did the defendant transfer the total amount of €55,710?","{'text': 'using an ATM card, she gradually withdrew from the aforementioned account number ..., the total amount of €55,710, making 84 individual withdrawals from automatic teller machines', 'start_chunk': 246, 'end_chunk': 325}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
12,What is the total amount withdrawn from automatic teller machines?,"{'start_chunk': 'the total amount of €55,710, making 84 individual withdrawals from automatic teller machines', 'end_chunk': 'making 84 individual withdrawals from automatic teller machines'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
13,How many individual withdrawals were made from automatic teller machines?,"{'start_chunk': 'the total amount of €55,710, making 84 individual withdrawals from automatic teller machines', 'end_chunk': 'making 84 individual withdrawals from automatic teller machines'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
14,"During what periods did the defendant transfer €73,942 through electronically transmitted orders?","{'start_chunk': 'during the period from June 2008 to November 2008, in the same exact manner (through the electronic management system', 'end_chunk': 'transfers of these amounts'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
15,What were the amounts received from the first complainant to pay insurance contributions?,"{'start_chunk': 'she had received from the first complainant ... the amounts of €695.04, €695.04, and €845.04, in order to pay his insurance contributions to O.A.E.E. for the periods of January-February 2008, May-June 2008, and September-October 2008', 'end_chunk': 'in order to pay his insurance contributions to O.A.E.E. for the periods of January-February 2008, May-June 2008, and September-October 2008'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
16,What were the amounts received from the first complainant to pay insurance contributions?,"{'reference': 'the amounts of €695.04, €695.04, and €845.04, in order to pay his insurance contributions to O.A.E.E. for the periods of January-February 2008, May-June 2008, and September-October 2008', 'start_chunk': 39, 'end_chunk': 169}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Law Cases/Areios Pagos 1414-017.txt
