,question,references,corpus_id
0,What tactics do attackers commonly use in email phishing?,"[{""content"": ""The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency"", ""start_index"": 76, ""end_index"": 180}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
1,In what scenarios do email phishing attacks typically impersonate trusted entities?,"[{""content"": ""Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments"", ""start_index"": 277, ""end_index"": 437}, {""content"": ""Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials"", ""start_index"": 441, ""end_index"": 582}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
2,How do phishing attackers trick victims into revealing sensitive information?,"[{""content"": ""The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency"", ""start_index"": 76, ""end_index"": 180}, {""content"": ""Victims are tricked into disclosing personal information or downloading malware"", ""start_index"": 182, ""end_index"": 261}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
3,What types of entities are impersonated in email or SMS phishing attacks?,"[{""content"": ""Email phishing is a type of identity theft scam conducted via email or SMS"", ""start_index"": 0, ""end_index"": 74}, {""content"": ""Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments"", ""start_index"": 277, ""end_index"": 437}, {""content"": ""Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials"", ""start_index"": 441, ""end_index"": 582}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
4,What is a common method through which phishing attackers deceive victims in SMS phishing?,"[{""content"": ""Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data"", ""start_index"": 586, ""end_index"": 669}, {""content"": ""Scenario 4: SMS links lead to pharming sites that mimic trusted brands and steal login data through fake pop-ups"", ""start_index"": 673, ""end_index"": 785}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Email Phishing-Smishing.txt
5,How does the attacker intercept communication between a victim and a trusted entity?,"[{""content"": ""An attacker intercepts communication between a victim and a trusted entity, often using email spoofing"", ""start_index"": 0, ""end_index"": 102}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Man-in-the-Middle Attack.txt
6,What is the goal of an attacker who intercepts communication using email spoofing?,"[{""content"": ""The goal is to eavesdrop or modify communication to trick the user into disclosing sensitive data"", ""start_index"": 104, ""end_index"": 201}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Man-in-the-Middle Attack.txt
7,How does a spoofed email play a role in redirecting users to fraudulent websites or unauthorized payments?,"[{""content"": ""- A spoofed email (e.g., info-bank-usa@gmail.com) is used to redirect users to fraudulent websites or request unauthorized payments"", ""start_index"": 214, ""end_index"": 345}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Man-in-the-Middle Attack.txt
8,How can a spoofed email be utilized to trick the user into disclosing sensitive data?,"[{""content"": ""The goal is to eavesdrop or modify communication to trick the user into disclosing sensitive data"", ""start_index"": 104, ""end_index"": 201}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Man-in-the-Middle Attack.txt
9,What method does the attacker frequently employ when intercepting communication between a victim and a trusted entity?,"[{""content"": ""An attacker intercepts communication between a victim and a trusted entity, often using email spoofing"", ""start_index"": 0, ""end_index"": 102}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Man-in-the-Middle Attack.txt
10,How do attackers lure victims into providing personal information through QR codes?,"[{""content"": ""Victims scan a QR code believing it to be from a trusted source and are led to input their credit card and personal details on malicious websites"", ""start_index"": 174, ""end_index"": 319}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//original_files//Phishing Scenarios/Quishing (QR Code Phishing).txt
