,question,references,corpus_id,Unnamed: 0,location
0,Who can carry out the processing of personal data relating to criminal convictions?,Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10_ Processing of personal data relating to criminal convictions and offences .txt,,
1,Who should keep any comprehensive register of criminal convictions?,Any comprehensive register of criminal convictions shall be kept only under the control of official authority,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 10_ Processing of personal data relating to criminal convictions and offences .txt,,
2,What is the scope of applicability where the controller does not need to identify a data subject?,If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11_ Processing which does not require identification.txt,,
3,Which articles do not apply if the controller cannot identify the data subject?,"In such cases, Articles 15 to 20 shall not apply",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 11_ Processing which does not require identification.txt,,
4,Who must facilitate the exercise of data subject rights?,The controller shall facilitate the exercise of data subject rights under Articles 15 to 22.,"C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt",,
5,Under what circumstances can the controller refuse to act on a data subject's request?,"the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject.","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt",,
6,When should the controller provide information to the data subject on action taken?,The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request.,"C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt",,
7,How long can the period for providing information be extended for?,"That period may be extended by two further months where necessary, taking into account the complexity and number of the requests.","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt",,
8,By when does the controller need to inform the data subject if no action is taken on their request?,"If the controller does not take action on the request of the data subject, the controller shall inform the data subject without delay and at the latest within one month of receipt of the request","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt",,
9,What actions must be provided free of charge under specific articles?,Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge.,"C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt",,
10,When may the controller charge a reasonable fee to the data subject?,"Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either: (a) charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12_ Transparent information, communication and modalities for the exercise of the rights of the data.txt",,
