,question,references,corpus_id
0,What are some scenarios involving email phishing and SMS scams?,"[{""content"": ""Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments"", ""start_index"": 277, ""end_index"": 437}, {""content"": ""Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials"", ""start_index"": 441, ""end_index"": 582}, {""content"": ""Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data"", ""start_index"": 586, ""end_index"": 669}, {""content"": ""Scenario 4: SMS links lead to pharming sites that mimic trusted brands and steal login data through fake pop-ups"", ""start_index"": 673, ""end_index"": 785}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
1,How do attackers manipulate victims in email phishing?,"[{""content"": ""The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency"", ""start_index"": 76, ""end_index"": 180}, {""content"": ""Victims are tricked into disclosing personal information or downloading malware"", ""start_index"": 182, ""end_index"": 261}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
2,What tactics do attackers use in email phishing?,"[{""content"": ""The attacker uses social engineering tactics such as impersonating trusted entities and inducing urgency"", ""start_index"": 76, ""end_index"": 180}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
3,What types of entities do attackers impersonate in email phishing scenarios?,"[{""content"": ""Scenario 1: Emails impersonating high-ranking executives accuse victims of crimes to coerce them into revealing information or opening malware-laden attachments"", ""start_index"": 277, ""end_index"": 437}, {""content"": ""Scenario 2: Emails/SMS from fake banks or authorities alert victims of data breaches, directing them to spoofed websites to input credentials"", ""start_index"": 441, ""end_index"": 582}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
4,In what way do attackers deceive victims in SMS phishing scenarios?,"[{""content"": ""Scenario 3: SMS messages deliver disguised malware apps that harvest sensitive data"", ""start_index"": 586, ""end_index"": 669}, {""content"": ""Scenario 4: SMS links lead to pharming sites that mimic trusted brands and steal login data through fake pop-ups"", ""start_index"": 673, ""end_index"": 785}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Email Phishing-Smishing.txt
5,How does an attacker often intercept communication between a victim and a trusted entity?,"[{""content"": ""An attacker intercepts communication between a victim and a trusted entity, often using email spoofing"", ""start_index"": 0, ""end_index"": 102}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Man-in-the-Middle Attack.txt
6,What is the goal when an attacker intercepts communication using email spoofing?,"[{""content"": ""The goal is to eavesdrop or modify communication to trick the user into disclosing sensitive data"", ""start_index"": 104, ""end_index"": 201}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Man-in-the-Middle Attack.txt
7,How is a spoofed email utilized in the described scenario?,"[{""content"": ""Scenario:\n- A spoofed email (e.g., info-bank-usa@gmail.com) is used to redirect users to fraudulent websites or request unauthorized payments"", ""start_index"": 204, ""end_index"": 345}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Man-in-the-Middle Attack.txt
8,How is email spoofing employed by an attacker in the scenario provided?,"[{""content"": ""- A spoofed email (e.g., info-bank-usa@gmail.com) is used to redirect users to fraudulent websites or request unauthorized payments"", ""start_index"": 214, ""end_index"": 345}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Man-in-the-Middle Attack.txt
9,What technique is commonly used by an attacker to intercept communication through email spoofing?,"[{""content"": ""An attacker intercepts communication between a victim and a trusted entity, often using email spoofing"", ""start_index"": 0, ""end_index"": 102}]",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Phishing Scenarios/Man-in-the-Middle Attack.txt
